Id;Species;Accession Name;Origine Continent;Type (Wild/Cultivated);Sowing_Localisation;Replicate_nb (1/2);Plant_nb (1 to 3);Panicle_nb (1 to 3);Rachis_length (RL in cm);Primary Branch Number (PBN);Average of Primary Branch length in cm (PBL);Average of Internode along Primary Branch in cm (PBIL);Secondary Branch Number (SBN);Average of Secondary Branch length in cm (SBL);Average of Internode along secondary Branch in cm  (SBIL);Tertiary Branch Number (TBN);Spikelet Number (SpN)
Ob09;Ob;B49;Africa;Wild;Cali-Colombia;1;2;1;2.64;3;4.76;1.32;0;0;0;0;13
Ob09;Ob;B49;Africa;Wild;Cali-Colombia;1;2;2;5.15;3;3.42;2.58;0;0;0;0;10
Ob09;Ob;B49;Africa;Wild;Cali-Colombia;1;3;1;4.27;3;5.83;2.13;0;0;0;0;16
Ob09;Ob;B49;Africa;Wild;Cali-Colombia;1;3;2;4.38;3;8.84;2.19;2;2.78;1.56;0;24
Ob09;Ob;B49;Africa;Wild;Cali-Colombia;1;3;3;4.93;4;6.47;1.64;2;2.2;0.31;0;30
Ob09;Ob;B49;Africa;Wild;Cali-Colombia;2;1;1;8.28;5;6.29;2.07;0;0;0;0;27
Ob09;Ob;B49;Africa;Wild;Cali-Colombia;2;1;2;7.29;4;7.19;2.43;3;2.13;1.33;0;26
Ob09;Ob;B49;Africa;Wild;Cali-Colombia;2;1;3;6.18;4;6.9;2.06;1;2.75;0.95;0;25
Ob09;Ob;B49;Africa;Wild;Cali-Colombia;2;2;1;8.04;5;6.21;2.01;0;0;0;0;30
Ob09;Ob;B49;Africa;Wild;Cali-Colombia;2;2;2;8.38;5;6.31;2.1;1;2.3;1.36;0;30
Ob09;Ob;B49;Africa;Wild;Cali-Colombia;2;2;3;7.28;4;7.64;2.43;2;2.4;1.25;0;30
Ob09;Ob;B49;Africa;Wild;Cali-Colombia;2;3;1;8.76;5;7.3;2.19;3;2.38;1.19;0;36
Ob09;Ob;B49;Africa;Wild;Cali-Colombia;2;3;2;6.5;4;7.62;2.17;1;2.58;1.69;0;25
Ob09;Ob;B49;Africa;Wild;Cali-Colombia;2;3;3;6.88;7;5.27;1.15;2;1.44;1.44;0;25
Ob10;Ob;B5;Africa;Wild;Cali-Colombia;1;1;1;8.58;4;9.22;2.86;3;2.61;1.85;0;30
Ob10;Ob;B5;Africa;Wild;Cali-Colombia;1;1;2;9.35;7;8.53;1.56;4;2.66;0.84;0;50
Ob10;Ob;B5;Africa;Wild;Cali-Colombia;1;1;3;4.21;3;8.45;2.11;3;2.1;1.29;0;21
Ob10;Ob;B5;Africa;Wild;Cali-Colombia;1;2;1;5.09;3;6.59;2.55;0;0;0;0;15
Ob10;Ob;B5;Africa;Wild;Cali-Colombia;1;2;2;4.19;4;7.11;1.39;2;3.5;1.86;0;23
Ob10;Ob;B5;Africa;Wild;Cali-Colombia;1;3;1;8.59;4;6.85;2.86;3;2;0.77;0;30
Ob10;Ob;B5;Africa;Wild;Cali-Colombia;1;3;2;5.96;4;7.53;1.99;4;2.94;1.05;0;32
Ob10;Ob;B5;Africa;Wild;Cali-Colombia;2;1;1;7.26;4;7.43;2.42;5;2.29;0.63;0;35
Ob10;Ob;B5;Africa;Wild;Cali-Colombia;2;1;2;8.53;4;7.36;2.84;3;2.49;1.48;0;29
Ob10;Ob;B5;Africa;Wild;Cali-Colombia;2;2;1;8.59;5;8.6;2.15;6;3.15;1.03;0;46
Ob10;Ob;B5;Africa;Wild;Cali-Colombia;2;2;2;8.02;4;6.55;2.67;2;2.55;0.69;0;26
